name,age,gender,user_name,monster_card,monster_description,price
Christopher,3,male,knguyen,spy,humanoid (gnome),2.91
Jonathan,43,male,nbernard,tyrannosaurus-rex,humanoid (any race),19.49
Sean,52,male,schmidtmary,archmage,beast,1.09
Mark,27,male,william41,bugbear-chief,fiend (demon),19.36
Christopher,50,male,iswanson,wight,dragon,11.57
Anthony,73,male,wleonard,swarm-of-poisonous-snakes,aberration,18.21
William,52,male,ryan81,young-kruthik,monstrosity,17.13
Matthew,5,male,gonzalezveronica,spy,monstrosity,19.1
James,26,male,johnsonvicki,archmage,fiend (demon),7.15
Matthew,57,male,connerruth,darkling-elder,dragon,2.7
Antonio,74,male,lee93,minotaur-skeleton,giant (hill giant),5.81
Mark,26,male,kimberlyyoung,owlbear,humanoid (kobold),13.84
Ryan,54,male,marysanders,drow,aberration,10.7
Francisco,69,male,wleonard,spy,humanoid (any race),1.28
Edward,4,male,michelle32,warhorse-skeleton,aberration,10.89
Harry,59,male,linda70,bugbear-chief,fiend (demon),2.31
Bruce,73,male,schmidtmary,wight,beast,16.35
Kevin,66,male,amanda97,galeb-duhr,beast,9.86
Marc,57,male,brandy94,magmin,beast,16.87
Kurt,31,male,barnettbruce,owlbear,dragon,3.41
Martin,62,male,lee93,archmage,humanoid (human),12.98
Jay,42,male,myersmark,galeb-duhr,swarm of Tiny beasts,16.6
John,78,male,myersmark,imix,giant (cloud giant),12.54
Andrew,54,male,gonzalezveronica,shadow-demon,beast,11.95
Jimmy,80,male,johnsonvicki,hobgoblin-warlord,humanoid (any race),8.89
Kevin,71,male,knguyen,bugbear-chief,humanoid (meazel),3.9
Andrew,7,male,myersmark,minotaur-skeleton,construct,15.59
Robert,6,male,cortiz,swarm-of-poisonous-snakes,humanoid (any race),5.84
Benjamin,25,male,jacqueline43,swarm-of-poisonous-snakes,fey (elf),3.5
Jeremiah,43,male,gaillowe,swarm-of-poisonous-snakes,construct,4.21
Tyler,11,male,marysanders,galeb-duhr,humanoid (any race),4.79
Benjamin,7,male,maryhall,galeb-duhr,plant,16.51
David,56,male,sheilabarker,tyrannosaurus-rex,"fiend (demon, shapechanger)",8.67
Matthew,47,male,schmidtmary,warhorse-skeleton,undead,5.93
Steven,65,male,schmidtmary,wight,undead,19.85
Shawn,22,male,carrie58,bugbear-chief,humanoid (any race),19.18
Jeffrey,27,male,william41,minotaur-skeleton,humanoid (kobold),16.2
Alvin,52,male,maryhall,minotaur-skeleton,celestial,3.16
Joshua,61,male,iswanson,wight,celestial,16.65
Raymond,35,male,jonesmiguel,werewolf,plant,13.98
Curtis,70,male,edwardstricia,giant-constrictor-snake,dragon,4.4
Scott,33,male,sheilabarker,hobgoblin-warlord,fiend (devil),15.7
Edward,23,male,tina44,darkling-elder,monstrosity,13.82
Ronnie,5,male,zestrada,wight,undead,13.79
Matthew,30,male,gramirez,owlbear,monstrosity,18.32
David,65,male,nbernard,tyrannosaurus-rex,humanoid (human),3.95
Marcus,12,male,heather05,hobgoblin-warlord,construct,14.65
Joshua,63,male,joelsalinas,owlbear,fiend,5.67
Christopher,61,male,gramirez,drow,elemental,14.41
Michael,47,male,jonathan09,shadow-demon,beast,13.66
Anthony,41,male,barnettbruce,werewolf,humanoid (goblinoid),6.95
Robert,8,male,jonathan09,galeb-duhr,fey (elf),7.67
Brent,3,male,luislane,wight,monstrosity,6.7
Kenneth,4,male,tina44,minotaur-skeleton,beast,17.78
Stanley,31,male,williamsfrederick,magmin,fey (elf),18.32
Brett,13,male,uharris,swarm-of-poisonous-snakes,elemental,8.9
Angel,43,male,kennethwilkinson,wight,humanoid (any race),6.48
Darrell,17,male,lozanoandrew,wight,monstrosity,6.24
Alexis,31,male,paynejennifer,galeb-duhr,monstrosity,4.13
Jason,54,male,maryhall,minotaur-skeleton,beast,18.95
Michael,41,male,marysanders,wight,dragon,1.74
Gary,47,male,jacqueline43,warhorse-skeleton,elemental,3.18
Gregory,14,male,lee93,drow,humanoid (human),14.89
Roberto,75,male,lee93,drow,humanoid (any race),12.85
Christian,17,male,manueladams,shadow-demon,humanoid (any race),16.16
Joel,50,male,robin86,minotaur-skeleton,monstrosity (titan),14.88
Gregory,61,male,heather05,magmin,plant,18.26
Harold,51,male,ricardocunningham,werewolf,monstrosity,5.82
Michael,62,male,sheilabarker,wight,monstrosity,1.32
Richard,63,male,heather05,shadow-demon,construct,4.54
Bryan,6,male,taylorrebecca,owlbear,beast,6.29
Joel,11,male,johnsonvicki,owlbear,humanoid (any race),6.53
Derek,53,male,robin86,shadow-demon,beast,16.25
Alan,68,male,jacqueline43,giant-constrictor-snake,humanoid (dwarf),1.54
John,79,male,patelkathy,magmin,fey (elf),19.27
Jose,47,male,lozanoandrew,owlbear,humanoid (dwarf),16.75
Jeremiah,47,male,hscott,shadow-demon,fiend (devil),3.49
Tyler,75,male,robert10,imix,dragon,9.13
William,34,male,robert10,archmage,construct,4.25
Justin,65,male,stephanieharris,giant-constrictor-snake,giant,17.02
Patrick,22,male,jessica82,wight,humanoid (any race),12.44
David,21,male,connerruth,hobgoblin-warlord,humanoid (nagpa),19.6
William,61,male,connerruth,warhorse-skeleton,humanoid (any race),2.16
Donald,18,male,luislane,shadow-demon,monstrosity (shapechanger),8.53
Eric,17,male,knguyen,mummy-lord,humanoid (goblinoid),10.22
Jonathan,63,male,carlawatson,mummy-lord,dragon,3.68
Kevin,29,male,barnettbruce,werewolf,fiend (yugoloth),10.63
Jorge,62,male,taylorrebecca,spy,humanoid (any race),14.21
Christopher,78,male,nbernard,wight,dragon,19.62
Anthony,62,male,oscarsmith,minotaur-skeleton,construct,15.92
Brandon,74,male,wleonard,archmage,humanoid (human),11.54
Scott,43,male,joelsalinas,hobgoblin-warlord,dragon,6.06
Robert,76,male,nbernard,giant-constrictor-snake,elemental,2.46
Andrew,80,male,tina44,magmin,fiend (demon),8.53
James,44,male,hscott,hobgoblin-warlord,beast,6.2
Richard,75,male,sheilabarker,magmin,fiend (devil),9.22
Gregory,10,male,gonzalezveronica,imix,fiend (devil),13.65
Jonathan,76,male,cortiz,shadow-demon,fiend (yugoloth),6.26
Mike,8,male,ricardocunningham,wight,humanoid (dwarf),18.71
David,26,male,johnsonvicki,darkling-elder,monstrosity,2.35
Daniel,16,male,paynejennifer,tyrannosaurus-rex,undead,10.97
Richard,26,male,stephanieharris,giant-constrictor-snake,giant,7.85
Richard,18,male,jonesmiguel,drow,elemental,8.75
Joshua,28,male,jonesmiguel,hobgoblin-warlord,dragon,6.79
Ronald,6,male,williamsfrederick,giant-constrictor-snake,monstrosity,14.03
Jonathan,56,male,taylorrebecca,owlbear,beast,8.63
Joshua,66,male,brandy94,owlbear,plant,17.58
Jonathan,57,male,hscott,owlbear,elemental,15.47
Bryan,31,male,trevorwilliams,imix,monstrosity,7.74
Michael,55,male,michelle32,galeb-duhr,fiend (devil),19.78
Jason,57,male,paynejennifer,bugbear-chief,humanoid (yuan-ti),12.13
William,75,male,christophercarter,imix,monstrosity,3.07
Tyrone,55,male,william41,archmage,monstrosity,2.35
Blake,11,male,robin86,imix,dragon,3.56
Michael,32,non-disclosed,rmatthews,tyrannosaurus-rex,undead,11.51
Benjamin,76,non-disclosed,michaelhouse,tyrannosaurus-rex,humanoid (any race),6.2
Reginald,65,non-disclosed,jennifer59,young-kruthik,dragon,3.9
Joshua,61,non-disclosed,leonardmelissa,galeb-duhr,monstrosity (titan),3.13
Michael,4,non-disclosed,michaelhouse,warhorse-skeleton,dragon,19.74
Gregory,66,non-disclosed,omartinez,shadow-demon,dragon,16.66
Paul,66,non-disclosed,rmatthews,mummy-lord,humanoid (orc),5.81
Thomas,41,non-disclosed,jameshill,tyrannosaurus-rex,dragon,13.67
Dale,61,non-disclosed,jennifer59,minotaur-skeleton,beast,15.29
Dustin,29,non-disclosed,melanie87,hobgoblin-warlord,construct,14.26
Samuel,32,non-disclosed,melanie87,spy,fiend (devil),4.65
David,19,non-disclosed,dawn72,giant-constrictor-snake,aberration,7.92
Christopher,80,non-disclosed,melanie87,galeb-duhr,undead,15.97
Chad,26,non-disclosed,melanie87,werewolf,humanoid (human),10.87
Jordan,25,non-disclosed,jennifer59,wight,beast,7.85
Austin,12,non-disclosed,xthompson,tyrannosaurus-rex,humanoid (human),2.81
Nicholas,77,non-disclosed,jameshill,werewolf,monstrosity,14.04
Jonathan,19,non-disclosed,melanie87,warhorse-skeleton,celestial,16.89
Jeffrey,32,non-disclosed,jameshill,tyrannosaurus-rex,elemental,7.3
David,48,non-disclosed,xthompson,imix,elemental,7.81
Christopher,78,non-disclosed,ccoffey,archmage,construct,15.73
David,22,non-disclosed,rmatthews,warhorse-skeleton,dragon,5.95
Jason,34,non-disclosed,xthompson,warhorse-skeleton,humanoid (sahuagin),3.01
Joseph,48,non-disclosed,leonardmelissa,minotaur-skeleton,undead,7.93
Hayden,70,non-disclosed,omartinez,wight,aberration,14.48
Jordan,59,non-disclosed,michaelhouse,wight,beast,4.25
Dennis,30,non-disclosed,rmatthews,darkling-elder,fiend,15.46
Joseph,42,non-disclosed,jennifer59,young-kruthik,humanoid (orc),10.8
Isaac,53,non-disclosed,ccoffey,drow,monstrosity,5.48
Anthony,80,non-disclosed,melanie87,magmin,aberration,16.41
Robert,70,non-disclosed,jameshill,spy,humanoid (goblinoid),11.0
Samuel,39,non-disclosed,omartinez,hobgoblin-warlord,dragon,11.88
Joseph,38,non-disclosed,ccoffey,tyrannosaurus-rex,humanoid (grung),17.98
Brandon,44,non-disclosed,rmatthews,werewolf,construct,6.67
Alexis,18,non-disclosed,ccoffey,minotaur-skeleton,humanoid (any race),5.22
William,52,non-disclosed,dawn72,bugbear-chief,humanoid (sahuagin),3.58
Richard,70,non-disclosed,michaelhouse,wight,celestial,15.08
Michael,62,non-disclosed,jennifer59,spy,"humanoid (human, shapechanger)",11.38
Craig,34,non-disclosed,rmatthews,wight,elemental,10.07
James,61,non-disclosed,rmatthews,bugbear-chief,fiend (demon),1.44
Charles,4,non-disclosed,rmatthews,swarm-of-poisonous-snakes,humanoid (any race),1.55
Ronnie,15,non-disclosed,jennifer59,hobgoblin-warlord,humanoid (gith),4.52
Jermaine,54,non-disclosed,jameshill,darkling-elder,fey,12.02
William,24,non-disclosed,ccoffey,archmage,humanoid (lizardfolk),18.91
Jonathan,16,non-disclosed,dawn72,mummy-lord,fiend (devil),13.06
Jason,60,non-disclosed,ccoffey,darkling-elder,plant,4.52
Donald,40,non-disclosed,omartinez,spy,beast,18.89
Philip,30,non-disclosed,melanie87,galeb-duhr,construct,19.76
Marcus,19,non-disclosed,xthompson,imix,undead,18.31
Robert,16,non-disclosed,jennifer59,magmin,dragon,19.01
Bryan,39,non-disclosed,jameshill,mummy-lord,aberration,14.74
Charles,80,non-disclosed,omartinez,warhorse-skeleton,humanoid (orc),10.85
Jonathan,53,non-disclosed,melanie87,spy,fiend (demon),12.06
Joseph,20,non-disclosed,jennifer59,young-kruthik,beast,2.9
James,7,non-disclosed,ccoffey,minotaur-skeleton,ooze,7.9
George,68,non-disclosed,omartinez,wight,fey,4.68
Craig,45,non-disclosed,ccoffey,swarm-of-poisonous-snakes,giant,4.79
Andrew,21,non-disclosed,jennifer59,young-kruthik,elemental,18.02
Rodney,55,non-disclosed,dawn72,owlbear,monstrosity,1.28
Martin,23,non-disclosed,melanie87,mummy-lord,fiend (demon),7.46
Brandon,78,non-disclosed,melanie87,young-kruthik,fey,2.63
Shawn,79,non-disclosed,leonardmelissa,warhorse-skeleton,humanoid (any race),19.58
Jeffrey,64,non-disclosed,ccoffey,imix,giant,15.88
Jason,71,non-disclosed,leonardmelissa,archmage,giant,4.26
Derek,11,non-disclosed,jennifer59,swarm-of-poisonous-snakes,fiend (yugoloth),8.78
Kevin,51,non-disclosed,michaelhouse,minotaur-skeleton,humanoid (kuo-toa),15.94
Christopher,63,non-disclosed,ccoffey,darkling-elder,dragon,8.73
Earl,46,non-disclosed,xthompson,imix,fiend (demon),7.13
Samuel,22,non-disclosed,leonardmelissa,imix,humanoid (elf),3.7
Joseph,18,non-disclosed,omartinez,owlbear,fey,9.98
Thomas,80,non-disclosed,jennifer59,giant-constrictor-snake,giant (stone giant),1.72
Richard,18,non-disclosed,michaelhouse,darkling-elder,humanoid (kuo-toa),19.64
Logan,58,non-disclosed,dawn72,swarm-of-poisonous-snakes,plant,6.24
Brian,12,non-disclosed,michaelhouse,warhorse-skeleton,undead,16.59
Kenneth,57,non-disclosed,dawn72,owlbear,undead,2.84
Joel,74,non-disclosed,melanie87,young-kruthik,aberration,3.13
Gabriel,39,non-disclosed,michaelhouse,archmage,fey (elf),13.74
Eric,77,non-disclosed,michaelhouse,spy,dragon,7.0
Richard,36,non-disclosed,xthompson,drow,fiend (yugoloth),9.48
Richard,22,non-disclosed,jameshill,giant-constrictor-snake,giant (fire giant),19.42
Edward,41,non-disclosed,xthompson,drow,humanoid (elf),18.2
Richard,17,non-disclosed,jennifer59,giant-constrictor-snake,beast,17.31
Charles,28,non-disclosed,omartinez,spy,beast,4.14
Christopher,69,non-disclosed,jameshill,shadow-demon,beast,11.19
Andrew,35,non-disclosed,xthompson,drow,beast,2.48
Mark,57,non-disclosed,michaelhouse,bugbear-chief,beast,8.85
Roberto,17,non-disclosed,omartinez,spy,humanoid (any race),1.93
Andrew,36,non-disclosed,xthompson,galeb-duhr,humanoid (human),12.38
Timothy,55,non-disclosed,jameshill,mummy-lord,elemental,18.74
Gregg,60,non-disclosed,jameshill,giant-constrictor-snake,fey,17.95
Cody,24,non-disclosed,xthompson,archmage,beast,10.3
Harry,66,non-disclosed,rmatthews,minotaur-skeleton,undead,9.29
Robert,11,non-disclosed,melanie87,mummy-lord,monstrosity,12.45
Brett,74,non-disclosed,xthompson,minotaur-skeleton,fey,6.22
Ryan,3,non-disclosed,dawn72,bugbear-chief,humanoid (any race),9.43
Karl,32,non-disclosed,jameshill,shadow-demon,fiend (yugoloth),19.6
Tyrone,6,non-disclosed,ccoffey,giant-constrictor-snake,humanoid (gith),6.09
Paul,62,non-disclosed,michaelhouse,hobgoblin-warlord,humanoid (any race),17.08
Sean,62,non-disclosed,leonardmelissa,magmin,elemental,8.92
Jerry,11,non-disclosed,melanie87,mummy-lord,humanoid (any race),17.83
